CODE_ISIN;PLACE_DE_COTATION;CATEGORIE;ORGANISME;PRODUIT;STOCK;DATE_COURS;VALEUR_LIQUIDATIVE;CONTRE_VALEUR_EN_EUROS
FR0010376020;PARIS;OPC;CPRASM;C676;1.54;31/12/2019;947.14;1459.84
FR0000284689;PARIS;OPC;COMGES;C678;61.91;31/12/2019;2274.03;140784.07
LU1670710075;PARIS;OPC;MGI;C678;7844.01;31/12/2019;10.93;85735
FR0011640986;PARIS;OPC;INOCAP;C678;441.76;31/12/2019;179.84;79446.21
LU0823399810;PARIS;OPC;BNPPIP;C678;38.05;31/12/2019;236.75;9008.21
FR0010923805;PARIS;OPC;DNCA;C678;12.24;31/12/2019;119.7;1465.06
LU1160365505;PARIS;OPC;EDROAS;C678;207.23;31/12/2019;199.1;41259.62
FR0010148007;PARIS;OPC;SANSO;C678;1.58;31/12/2019;394.03;624
FR0013433505;PARIS;OPC;ECHIQ;C678;21.04;31/12/2019;102.99;2166.9
FR0011645670;PARIS;OPC;LAFINT;C690;373.36;31/12/2019;17.57;6559.98
FR0011261197;PARIS;OPC;ROTHS;C690;127.62;31/12/2019;2118.68;270390.65
FR0010547067;PARIS;OPC;TOCQU;C690;4.83;31/12/2019;233.94;1130.96
IE0004766675;PARIS;OPC;COMGES;C690;103.87;31/12/2019;29.33;3046.42
FR0010135103;PARIS;OPC;CARM;C778;4542.23;31/12/2019;637.19;2894262.73
FR0010923375;PARIS;OPC;H20;C778;5688.12;31/12/2019;523.99;2980518.73
FR0007051040;PARIS;OPC;DNCA;C778;5712.85;31/12/2019;387.49;2213671.86
LU0129445192;PARIS;OPC;JPMORG;C778;3312.42;31/12/2019;22.37;74098.86
FR0007012919;PARIS;OPC;CQUAMF;C778;7.88;31/12/2019;269.51;2124.88
LU0823399810;PARIS;OPC;BNPPIP;C824;53.8;31/12/2019;236.75;12738.13
LU0086913042;PARIS;OPC;BNPPIP;C971;18.63;31/12/2019;151.12;2814.63
LU0086913042;PARIS;OPC;BNPPIP;F656;628.9;31/12/2019;151.12;95039.39
LU0131210360;PARIS;OPC;BNPAML;F659;22.56;31/12/2019;194.58;4390.41
FR0010028902;PARIS;OPC;BNPPAM;F759;120.45;31/12/2019;205.87;24797.01
FR0010923375;PARIS;OPC;H20;P644;790.15;31/12/2019;523.99;414029.95
FR0010241240;PARIS;OPC;HMG;P644;193.36;31/12/2019;228.14;44113.64
FR0010981175;PARIS;OPC;TRUSFI;P644;11.8;31/12/2019;413.39;4878.09
FR0007051040;PARIS;OPC;DNCA;S294;37.15;31/12/2019;387.49;14396.19
LU0061175625;PARIS;OPC;FIDELI;S645;212.64;31/12/2019;59.7;12694.6
FR0007050190;PARIS;OPC;DNCA;S645;313.31;31/12/2019;118.77;37212.03
FR0010213421;PARIS;OPC;GROUP;S645;155.93;31/12/2019;652.77;101785.72
FR0010209916;PARIS;OPC;BNPPAM;S675;5.59;31/12/2019;23240.31;129997.65
LU0119124864;PARIS;OPC;FILLSA;S675;99.23;31/12/2019;63.56;6307.13
FR0013305729;PARIS;SCI;TURGOT;S675;65.96;15/12/2019;112.22;7401.76
FR0007026448;PARIS;OPC;BNPPAM;S677;451.04;31/12/2019;290.23;130905.22
FR0010209916;PARIS;OPC;BNPPAM;S677;0.72;31/12/2019;23240.31;16744.46
FR0010983924;PARIS;OPC;EDRAM;S677;1.54;31/12/2019;171.86;264.76
FR0010547067;PARIS;OPC;TOCQU;S677;25.44;31/12/2019;233.94;5951.62
LU0256839860;PARIS;OPC;ALGIGM;S679;26.12;31/12/2019;272.51;7117.52
FR0000299356;PARIS;OPC;LAZAR;S679;7.2;31/12/2019;202.32;1457.56
LU1082942308;PARIS;OPC;EDROAS;S777;119.94;31/12/2019;203.89;24454.68
LU1812091947;PARIS;ETF;LYXHTL;S777;17896.97;31/12/2019;9.06;162146.55
LU0294220107;PARIS;OPC;DWSIS;U560;41.09;31/12/2019;18.87;775.29
LU0433182689;PARIS;OPC;AMUNLU;U560;577.35;31/12/2019;141.11;81469.26
FR0010479931;PARIS;OPC;EDROAS;U560;115.68;31/12/2019;354.52;41012.11
FR0011261197;PARIS;OPC;ROTHS;U560;2.38;31/12/2019;2118.68;5034.3
IE0004866889;PARIS;OPC;BARIFM;U570;38.35;31/12/2019;1127.14;43229.92
FR0010097683;PARIS;OPC;CPRASM;U570;173.64;31/12/2019;474.11;82325.66
LU1204261330;PARIS;OPC;SYZAM;U570;0.52;31/12/2019;165.66;86.25
FR0010487512;PARIS;OPC;TAILOR;U570;2421.84;31/12/2019;153.44;371607.72
LU0177222121;PARIS;OPC;SCHRO;U570;264.84;31/12/2019;25.14;6658.05
FR0000991390;PARIS;OPC;LAFAM;U571;0.19;31/12/2019;86187.61;16553.19
FR0000003196;PARIS;OPC;NATIIM;U579;1.82;31/12/2019;562.13;1021.15
FR0010330902;PARIS;OPC;ECHIQ;U579;251.78;31/12/2019;318.59;80215.55
FR0010149112;PARIS;OPC;CARM;U579;14.19;31/12/2019;395.63;5613.76
